Business Unit,Description,L D,Co,BU Ty,Subledger Inactive,M C,Sector,Sub-Segment,Province,District,WCB Rates,Promo Expense,Category Code 07,Closed Business,IMS Fee,Admin Fee,Summary Reporting,Statement Formats,Regional VP,Fringe Calc,JV Units,Mgmt Fee,Bank Charges,Regional Director,Smallwares R&M,President,Multi Group,Group,Contract Terms,Cat Code 24,Fringe Caps,IFRS15,Commissions,COVID-19 Status,DM Assistants,Census Metro Area CMA,Online Reporting Access 1,Online Reporting Access 2,Online Reporting Access 3,Insurance,BE - Digital Hospitality,Finance Charge Exceptions,Business Line,BE - Like for Like,Rebate passed to Client,Acquisitions,Key Client Account,MAP1 Royalty Brands,Special Services,BE Online Reporting Access 4,US Data - Office Type,US Data - Compass Sector,BE - Top Retail Accounts,Concur BU,HFM Reporting,CAT 50,P E,Tax Rate Area,Address Number,Address Number1,Address Number2,Address Number3,Address Number4,Address Number5,Address Number6,Related BU,Related BU Description,Adj Entry,Adjustment Entry Description,Project Number,Project Description
"       00701",District #701 - J. Bell,9,00100,DS," "," ",16,OH,ON,701,OR," "," "," "," "," "," "," ",38," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," ",N," ",156348,,,,,,,"       00701",District #701 - J. Bell,0,Not Restricted,"            ",
"       00702",District #702-J.Patgunanathan,9,00100,DS," "," ",16,OH,ON,702,OR," "," "," "," "," "," "," ",23," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",461401,,,,,,,"       00702",District #702-J.Patgunanathan,0,Not Restricted,"            ",
"       00703",District #703 - D. Rewbury,9,00100,DS," "," ",16,OH,BC,703,BCB," "," "," "," "," "," "," ",23," "," "," "," ",146," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Y," "," "," "," "," "," "," "," "," ",DS," ",N," ",603080,,,,,,,"       00703",District #703 - D. Rewbury,0,Not Restricted,"            ",
"       00704",District #704 - TM,9,00100,DS," "," ",16,OH,ON,704,OR," "," "," "," "," "," "," ",38," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",161780,,,,,,,"       00704",District #704 - TM,0,Not Restricted,"            ",
"       00705",District #705 - T. Moore,9,00100,DS," "," ",16,OH,ON,705,OR," "," "," "," "," "," "," ",23," "," "," "," ",109," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",131422,,,,,,,"       00705",District #705 - T. Moore,0,Not Restricted,"            ",
"       00706",District #706 - TM,9,00100,DS," "," ",16,OH,NS,706,NS," "," "," "," "," "," "," ",38," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",156349,,,,,,,"       00706",District #706 - TM,0,Not Restricted,"            ",
"       00707",District #707 - T. Moore,9,00100,DS," "," ",16,OH,ON,707,OR," "," "," "," "," "," "," ",23," "," "," "," ",109," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",588710,,,,,,,"       00707",District #707 - T. Moore,0,Not Restricted,"            ",
"       00708",District# 708 - No longer used,9,00100,DS," "," ",16,OH,ON,708,OR," "," "," "," "," "," "," ",38," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",602424,,,,,,,"       00708",District# 708 - No longer used,0,Not Restricted,"            ",
"       00709",District# 709 - No longer used,9,00100,DS," "," ",16,OH,ON,709,OR," "," "," "," "," "," "," ",38," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",650704,,,,,,,"       00709",District# 709 - No longer used,0,Not Restricted,"            ",
"       00710",District #710-A. Blanchet-TM,9,00100,TM," "," ",16,OH,ON,91,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,TM," ",N," ",,,,,,,,"       00710",District #710-A. Blanchet-TM,0,Not Restricted,"            ",
"       00711",District #711 - E. Hunt,9,00100,DS," "," ",15,OH,ON,711,OR," "," "," "," "," "," "," ",29," "," "," "," ",94," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00711",District #711 - E. Hunt,0,Not Restricted,"            ",
"       00712",District#712-No longer used-TM,9,00100,TM," "," ",16,OH,ON,91,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       00712",District#712-No longer used-TM,0,Not Restricted,"            ",
"       00713",District #713 - Jeff Bell,9,00100,DS," "," ",16,OH,ON,713,OR," "," ",CL," "," "," "," ",38," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",676036,,,,,,,"       00713",District #713 - Jeff Bell,0,Not Restricted,"            ",
"       00714",District# 714 - Heather Chell,9,00100,DS," "," ",45,OH,ON,714,OR,N/A," "," "," "," "," "," ",11," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00714",District# 714 - Heather Chell,0,Not Restricted,"            ",
"       00715",District # 715 - P. Suresh,9,00100,DS," "," ",16,OH,ON,715,OR," "," "," "," "," "," "," ",23," "," "," "," ",146," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00715",District # 715 - P. Suresh,0,Not Restricted,"            ",
"       00716",District # 716 - M. Frayn,9,00100,DS," "," ",16,OH,ON,716,OR," "," "," "," "," "," "," ",42," "," "," "," ",40," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00716",District # 716 - M. Frayn,0,Not Restricted,"            ",
"       00717",District #717 - S. Arokiam,9,00100,DS," "," ",03,OH,ON,717,OR," "," "," "," "," "," "," ",98," "," "," "," ",13," ",03," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",827348,,,,,,,"       00717",District #717 - S. Arokiam,0,Not Restricted,"            ",
"       00721",District #721 - M. Frayn,9,00100,DS," "," ",16,OH,ON,721,OR,N/A," "," ",T20," "," "," ",42," "," "," ",R25,40," ",16," "," "," "," "," "," "," "," ",055,06," "," "," "," "," "," "," "," ",Y," "," "," "," "," "," "," "," ",1,DS," "," "," ",561767,,,,,,,"       00721",District #721 - M. Frayn,0,Not Restricted,"            ",
"       00722",District #722 - M. Frayn,9,00100,DS," "," ",16,OH,*,722,*,N/A," "," ",T30," "," "," ",42," "," "," ",R25,40," ",16," "," "," "," "," "," "," "," ",055,04," "," "," "," "," "," "," "," ",Y," "," "," "," "," "," "," "," ",1,DS," "," "," ",561768,,,,,,,"       00722",District #722 - M. Frayn,0,Not Restricted,"            ",
"       00723",District #723 - Vacant,9,00100,DS," "," ",16,OH,BC,723,*,N/A," "," ",T30," "," "," ",38," "," "," ",R25," "," ",16," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," ",Y," "," "," "," "," "," "," "," ",1,DS," "," "," ",561770,,,,,,,"       00723",District #723 - Vacant,0,Not Restricted,"            ",
"       00724",District #724 - Vacant,9,00100,DS," "," ",16,OH,BC,724,*,N/A," "," "," "," "," "," ",38," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," ",Y," "," "," "," "," "," "," "," ",1,DS," "," "," ",603091,,,,,,,"       00724",District #724 - Vacant,0,Not Restricted,"            ",
"       00725",District #725 - S. Miller,9,00100,DS," "," ",16,OH,ON,725,OR," "," "," "," "," "," "," ",23," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",606430,,,,,,,"       00725",District #725 - S. Miller,0,Not Restricted,"            ",
"       00726",District #726 - D. Rewbury,9,00100,DS," "," ",16,OH,ON,726,OR," "," "," "," "," "," "," ",23," "," "," "," ",146," ",16," "," "," "," "," "," "," "," "," ",62," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",729185,,,,,,,"       00726",District #726 - D. Rewbury,0,Not Restricted,"            ",
"       00727",District #727 - Steven Tseng,9,00100,DS," "," ",16,OH,BC,727," "," "," "," "," "," "," "," ",23," "," "," "," ",146," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"       00727",District #727 - Steven Tseng,0,Not Restricted,"            ",
"       00728",District #728 - M. White,9,00100,DS," "," ",16,OH,ON,728,OR," "," "," "," "," "," "," ",23," "," "," "," ",146," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",833141,,,,,,,"       00728",District #728 - M. White,0,Not Restricted,"            ",
"       00729",District #729 - Steven Tseng,9,00100,DS," "," ",16,OH,BC,729," "," "," "," "," "," "," "," ",23," "," "," "," ",109," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",,,,,,,,"       00729",District #729 - Steven Tseng,0,Not Restricted,"            ",
"       00731",District #731 - Ed Hunt,9,00100,DS," "," ",15,OH,AB,731," "," "," "," "," "," "," "," ",29," "," "," "," ",25," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00731",District #731 - Ed Hunt,0,Not Restricted,"            ",
"       00733",District #733 - Mike Krezwick,9,00100,DS," "," ",15,OH,AB,733," "," "," "," "," "," "," "," ",86," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00733",District #733 - Mike Krezwick,0,Not Restricted,"            ",
"       00734",District #734 - Paul McArdle,9,00100,DS," "," ",15,OH,BC,734," "," "," "," "," "," "," "," ",29," "," "," "," ",51," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"       00734",District #734 - Paul McArdle,0,Not Restricted,"            ",
"       00735",District #735 - Peter Church,9,00100,DS," "," ",15,OH,SK,735," "," "," "," "," "," "," "," ",29," "," "," "," ",01," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"       00735",District #735 - Peter Church,0,Not Restricted,"            ",
"       00750",Leisure Sector Overhead,9,00100,SG," "," ",16,OS,ON," ",OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,SG," "," "," ",460307,,,,,,,"       00750",Leisure Sector Overhead,0,Not Restricted,"            ",
"       00780",Dist. #780- J. Bell-50% Offset,9,00800,DS," "," ",15,OH,QC,780," "," "," "," "," "," "," "," ",47," "," "," "," "," "," ",16," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"       00780",Dist. #780- J. Bell-50% Offset,0,Not Restricted,"            ",
"       00800",Integration Expense Centre,9,00100,TM," "," ",08,OS,ON," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"            ",,0,Not Restricted,"            ",
"       00801",District # 801,9,00100,DS," "," ",22,OH,ON,801,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," ",06,93," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",131319,,,,,,,"       00801",District # 801,0,Not Restricted,"            ",
"       00802",Dahlia Abou El Hassan Overhead,9,00100,VR," "," ",17,OV,ON," ",OR," "," "," "," "," "," "," ",49," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06,93," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,VR," "," "," ",103812,,,,,,,"       00802",Dahlia Abou El Hassan Overhead,0,Not Restricted,"            ",
"       00803",District #803 -  P. Chang,9,00100,DS," "," ",27,OH,BC,803,BCB," "," "," "," "," "," "," ",92," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",07," ",14," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",119192,,,,,,,"       00803",District #803 -  P. Chang,0,Not Restricted,"            ",
"       00804",Lindsey Baker RD Overhead,9,00150,RD," "," ",27,OH,ON," ",OR," "," "," "," "," "," "," ",91," "," "," "," ",41," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,RD," "," "," ",112794,,,,,,,"       00804",Lindsey Baker RD Overhead,0,Not Restricted,"            ",
"       00805",District #805,9,00150,DS," "," ",17,OH,ON,805,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",119193,,,,,,,"       00805",District #805,0,Not Restricted,"            ",
"       00806",District #806 -  F. Stead,9,00150,DS," "," ",17,OH,NL,806,NL," "," "," "," "," "," "," ",08," "," "," ",C25," "," ",17," "," "," "," "," "," "," "," "," ",50," ",57," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",111645,,,,,,,"       00806",District #806 -  F. Stead,0,Not Restricted,"            ",
"       00807",Annette Giffen Overhead,9,00150,VR," "," ",17,OV,ON," ",OR," "," "," "," "," "," "," ",124," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," ",88," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,VR," "," "," ",119194,,,,,,,"       00807",Annette Giffen Overhead,0,Not Restricted,"            ",
"       00808",Dis #808 - S. Van Kralingen CL,9,00150,DS," "," ",17,OH,ON,808,OR," "," "," "," "," "," "," ",27," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",119195,,,,,,,"       00808",Dis #808 - S. Van Kralingen CL,0,Not Restricted,"            ",
"       00809",District #809 - Op Support,9,00150,DS," "," ",22,OH,ON,809,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",461752,,,,,,,"       00809",District #809 - Op Support,0,Not Restricted,"            ",
"       00810",District #810 - J Brothers-CL,9,00150,DS," "," ",27,OH,BC,810,BCB," "," ",CL," "," "," "," ",92," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",07," ",14," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",116279,,,,,,,"       00810",District #810 - J Brothers-CL,0,Not Restricted,"            ",
"       00811",D#811 Consulting,9,00100,DS," "," ",17,OH,ON,811,OR," "," "," "," "," "," "," ",49," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",120202,,,,,,,"       00811",D#811 Consulting,0,Not Restricted,"            ",
"       00812",District #812 - Morrison Ottaw,9,00350,DS," "," ",17,OH,ON,812,OR," "," "," "," "," "," "," ",22," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",03," ",57," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",121144,,,,,,,"       00812",District #812 - Morrison Ottaw,0,Not Restricted,"            ",
"       00813",District#813-Brielle Perl,9,00150,DS," "," ",17,OH,ON,813,OR," "," "," "," "," "," "," ",49," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",121145,,,,,,,"       00813",District#813-Brielle Perl,0,Not Restricted,"            ",
"       00814",M.Petruzzella RD Overhead,9,00100,RD," "," ",27,OR,ON," ",OR," "," "," "," "," "," "," ",91," "," "," "," ",102," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,RD," "," "," ",131320,,,,,,,"       00814",M.Petruzzella RD Overhead,0,Not Restricted,"            ",
"       00815",District #815 - R. Robbins,9,00100,DS," "," ",17,OH,ON,815,OR," "," "," "," "," "," "," ",117," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," ",88," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",131321,,,,,,,"       00815",District #815 - R. Robbins,0,Not Restricted,"            ",
"       00816",District #816 - No longer used,9,00150,TM,I," ",22,OH,BC,816,BCB," "," "," "," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",141127,,,,,,,"       00816",District #816 - No longer used,0,Not Restricted,"            ",
"       00817",District #817 - Chris Holt,9,00150,DS," "," ",13,OH,BC,817,BCB," "," "," "," "," ",01," ",96," "," "," "," ",52," ",13," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",141128,,,,,,,"       00817",District #817 - Chris Holt,0,Not Restricted,"            ",
"       00818",District #818 - Chris Holt-TM,9,00100,DS," "," ",27,OH,BC,818," "," "," ",CL," "," "," "," ",92," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",137976,,,,,,,"       00818",District #818 - Chris Holt-TM,0,Not Restricted,"            ",
"       00819",District #819 - M.Petruzzella,9,00100,DS," "," ",27,OH,ON,819,BCB," "," "," "," "," "," "," ",91," "," "," "," ",102," ",27," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",143652,,,,,,,"       00819",District #819 - M.Petruzzella,0,Not Restricted,"            ",
"       00820",District 820-VIHA-C.Inverarity,9,00150,DS," "," ",13,OH,BC,820,BCB," "," "," "," "," ",01," ",96," "," "," "," "," "," ",13," "," "," "," "," "," "," "," "," ",74,16,01," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",152936,,,,,,,"       00820",District 820-VIHA-C.Inverarity,0,Not Restricted,"            ",
"       00821",District #821 - M Sedlacek,9,00100,DS," "," ",27,OH,ON,821,OR," "," "," "," "," "," "," ",116," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," ",01," "," "," ",1,DS," "," "," ",461754,,,,,,,"       00821",District #821 - M Sedlacek,0,Not Restricted,"            ",
"       00822",District #822 - No longer used,9,00100,TM," "," ",22,OH,ON,822,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",147789,,,,,,,"       00822",District #822 - No longer used,0,Not Restricted,"            ",
"       00823",Dist. 823 -Angela Brooks-CL,9,00100,DS," "," ",27,OH,ON,823,OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",461759,,,,,,,"       00823",Dist. 823 -Angela Brooks-CL,0,Not Restricted,"            ",
"       00824",District #824 - TM,9,00150,TM," "," ",22,OH,BC,824,BCB," "," "," "," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," ",74," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",152935,,,,,,,"       00824",District #824 - TM,0,Not Restricted,"            ",
"       00825",District #825 -S.Tse- CL,9,00100,DS," "," ",27,OH,BC,825,BCB," "," "," "," "," "," "," ",92," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",73," ",14," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",627277,,,,,,,"       00825",District #825 -S.Tse- CL,0,Not Restricted,"            ",
"       00826",District #826 - Jenny Douma-CL,9,00100,DS," "," ",27,OH,ON,826,OR," "," ",CL," "," "," "," ",91," "," "," "," ",102," ",27," "," "," "," "," "," "," "," "," ",71," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",667683,,,,,,,"       00826",District #826 - Jenny Douma-CL,0,Not Restricted,"            ",
"       00827",District #827 - Mike LaFortune,9,00100,DS," "," ",27,OH,ON,827,OR," "," "," "," "," "," "," ",91," "," "," "," ",23," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",671429,,,,,,,"       00827",District #827 - Mike LaFortune,0,Not Restricted,"            ",
"       00828",District #828 - D. Orlando-CL,9,00100,DS," "," ",17,OH,ON,828,OR," "," ",CL," "," "," "," ",27," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",673823,,,,,,,"       00828",District #828 - D. Orlando-CL,0,Not Restricted,"            ",
"       00829",Patient Satisfaction Overhead,9,00100,SG," "," ",17,OS,ON," ",OR," "," "," "," "," "," "," "," "," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," ",88," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",674571,,,,,,,"       00829",Patient Satisfaction Overhead,0,Not Restricted,"            ",
"       00830",District #830 - L. Baker,9,00100,DS," "," ",27,OH,ON,830,OR," "," "," "," "," "," "," ",91," "," "," "," ",41," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",731239,,,,,,,"       00830",District #830 - L. Baker,0,Not Restricted,"            ",
"       00831",District #831- Paula McEachern,9,00100,DS," "," ",27,OH,ON,831,OR," "," "," "," "," "," "," ",92," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",728866,,,,,,,"       00831",District #831- Paula McEachern,0,Not Restricted,"            ",
"       00832",District #832- Amy Brunelle,9,00100,DS," "," ",27,OH,ON,832,OR," "," "," "," "," "," "," ",91," "," "," "," ",102," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",710706,,,,,,,"       00832",District #832- Amy Brunelle,0,Not Restricted,"            ",
"       00833",District #833- P. Wheeldon,9,00100,DS," "," ",27,OH,BC,833,BCB," "," "," "," "," "," "," ",67," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",783428,,,,,,,"       00833",District #833- P. Wheeldon,0,Not Restricted,"            ",
"       00834",District #834 -  K. Hayley,9,00100,DS," "," ",27,OH,BC,834,BCB," "," "," "," "," "," "," ",91," "," "," "," ",41," ",27," "," "," "," "," "," "," "," "," ",07," ",14," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",737652,,,,,,,"       00834",District #834 -  K. Hayley,0,Not Restricted,"            ",
"       00835",District #835 - D. Kunder,9,00100,DS," "," ",41,OH,ON,835,OJ," "," "," "," "," "," "," ",15," "," "," "," ",26," ",02," "," "," "," "," "," "," "," "," "," "," ",65," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00835",District #835 - D. Kunder,0,Not Restricted,"            ",
"       00836",District #836 - D. Barnes,9,00100,DS," "," ",27,OH,ON,836,OR," "," "," "," "," "," "," ",92," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",729997,,,,,,,"       00836",District #836 - D. Barnes,0,Not Restricted,"            ",
"       00837",District #837 - E. Omoghan,9,00100,DS," "," ",27,OH,ON,837,OR," "," "," "," "," "," "," ",91," "," "," "," ",37," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",734905,,,,,,,"       00837",District #837 - E. Omoghan,0,Not Restricted,"            ",
"       00838",District #838 - Kristal Smith,9,00100,DS," "," ",27,OH,ON,838,OR," "," "," "," "," "," "," ",91," "," "," "," ",41," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",738813,,,,,,,"       00838",District #838 - Kristal Smith,0,Not Restricted,"            ",
"       00839",District #839 - Bill Johnston,9,00100,DS," "," ",03,OH,ON,839,OR," "," "," "," "," "," "," ",09," "," "," "," ",133," ",03," "," "," "," "," "," "," "," "," ",06," "," ",64," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",822081,,,,,,,"       00839",District #839 - Bill Johnston,0,Not Restricted,"            ",
"       00840",District #840-David Burkitt TM,9,00100,DS," "," ",27,OH,ON,840,OJ," "," ",CL," "," "," "," ",91," "," "," "," ",137," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",738824,,,,,,,"       00840",District #840-David Burkitt TM,0,Not Restricted,"            ",
"       00841",Mark Rosa Overhead - QC,9,00100,SG," "," ",27,OH,ON," ",OJ," "," "," "," "," "," "," ",116," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,SG," "," "," ",738822,,,,,,,"       00841",Mark Rosa Overhead - QC,0,Not Restricted,"            ",
"       00842",District#842 - Tom Schultz,9,00100,DS," "," ",27,OH,ON,842,OJ," "," "," "," "," "," "," ",91," "," "," "," ",102," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",739641,,,,,,,"       00842",District#842 - Tom Schultz,0,Not Restricted,"            ",
